combination,method,n_models,score
GAUSSIAN NB+ADABOOST,WSCP,2,0.5223118279569893
GAUSSIAN NB+EXTRA TREES,ASC,2,0.5223118279569893
RIDGE+PERCEPTRON,ASC,2,0.5223118279569893
LDA+DECISION TREE,ARC,2,0.5220430107526882
DECISION TREE+EXTRA TREES,WRCDS,2,0.5220430107526882
GAUSSIAN NB+NEAREST CENTROID,WRCDS,2,0.5220430107526882
DECISION TREE+EXTRA TREES,WSCDS,2,0.5220430107526882
RANDOM FOREST+PASSIVE AGGRESSIVE+DECISION TREE,WRCP,3,0.5220430107526882
RANDOM FOREST+PERCEPTRON+LDA,ARC,3,0.5220430107526882
RANDOM FOREST+RIDGE+GAUSSIAN NB,WRCP,3,0.5220430107526882
NEAREST CENTROID+DECISION TREE,WSCDS,2,0.5220430107526882
RANDOM FOREST+LDA+GAUSSIAN NB,WSCDS,3,0.5220430107526882
RIDGE+GAUSSIAN NB,WSCDS,2,0.5220430107526882
PERCEPTRON+DECISION TREE,ARC,2,0.5220430107526882
PERCEPTRON+ADABOOST,WRCDS,2,0.5220430107526882
RANDOM FOREST+LOGISTIC REGRESSION+NEAREST CENTROID,WSCP,3,0.5220430107526882
RIDGE+DECISION TREE,ARC,2,0.5220430107526882
GRADIENT BOOST+MLP CLASSIFIER+NEAREST CENTROID,WSCDS,3,0.5220430107526882
RANDOM FOREST+LOGISTIC REGRESSION+NEAREST CENTROID,WSCDS,3,0.521774193548387
LOGISTIC REGRESSION+DECISION TREE,WSCDS,2,0.521774193548387
LOGISTIC REGRESSION+NEAREST CENTROID,WSCDS,2,0.521774193548387
MLP CLASSIFIER+NEAREST CENTROID,WSCDS,2,0.521774193548387
PASSIVE AGGRESSIVE+GAUSSIAN NB,ASC,2,0.521774193548387
PASSIVE AGGRESSIVE+GAUSSIAN NB,WSCDS,2,0.521774193548387
RANDOM FOREST+LOGISTIC REGRESSION+NEAREST CENTROID,ASC,3,0.521774193548387
RANDOM FOREST+RIDGE+GAUSSIAN NB,ARC,3,0.521505376344086
GAUSSIAN NB+ADABOOST,WSCDS,2,0.521505376344086
DECISION TREE+EXTRA TREES,ARC,2,0.521505376344086
RANDOM FOREST+LDA+NEAREST CENTROID,WSCDS,3,0.521505376344086
RANDOM FOREST+PERCEPTRON+LDA,WRCDS,3,0.521505376344086
RANDOM FOREST+RIDGE+EXTRA TREES,WRCDS,3,0.521505376344086
RANDOM FOREST+RIDGE+NEAREST CENTROID,WSCDS,3,0.521505376344086
RANDOM FOREST+RIDGE+NEAREST CENTROID,ARC,3,0.521505376344086
RANDOM FOREST+NEAREST CENTROID+DECISION TREE,WSCDS,3,0.521505376344086
GRADIENT BOOST+SGD LOG+NEAREST CENTROID,ASC,3,0.521505376344086
RIDGE+GAUSSIAN NB,WSCP,2,0.521505376344086
GAUSSIAN NB+NEAREST CENTROID,WRCP,2,0.521505376344086
LDA+GAUSSIAN NB,WSCP,2,0.521505376344086
PASSIVE AGGRESSIVE+RIDGE,WRCP,2,0.521505376344086
RIDGE+DECISION TREE,WRCDS,2,0.521505376344086
RANDOM FOREST+GRADIENT BOOST+NEAREST CENTROID,ASC,3,0.521236559139785
RANDOM FOREST+LDA+NEAREST CENTROID,ARC,3,0.521236559139785
RANDOM FOREST+LDA+NEAREST CENTROID,ASC,3,0.521236559139785
RANDOM FOREST+MLP CLASSIFIER+NEAREST CENTROID,WSCDS,3,0.521236559139785
PERCEPTRON+NEAREST CENTROID,WRCP,2,0.5209677419354839
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,WRCDS,3,0.5209677419354839
RANDOM FOREST+LDA+NEAREST CENTROID,WSCP,3,0.5209677419354839
RANDOM FOREST+LDA+GAUSSIAN NB,WRCP,3,0.5209677419354839
RANDOM FOREST+RIDGE+PERCEPTRON,WRCP,3,0.5209677419354839
RANDOM FOREST+RIDGE+PERCEPTRON,WRCDS,3,0.5209677419354839
RANDOM FOREST+GAUSSIAN NB,WRCDS,2,0.5209677419354839
PERCEPTRON+GAUSSIAN NB,ARC,2,0.5209677419354839
RIDGE+DECISION TREE,WRCP,2,0.5209677419354839
PERCEPTRON+GAUSSIAN NB,WRCP,2,0.5209677419354839
PASSIVE AGGRESSIVE+RIDGE,WRCDS,2,0.5209677419354839
LDA+DECISION TREE,ASC,2,0.5206989247311828
RANDOM FOREST+GRADIENT BOOST+GAUSSIAN NB,WSCDS,3,0.5206989247311828
PASSIVE AGGRESSIVE+LDA,ARC,2,0.5206989247311828
RANDOM FOREST+GRADIENT BOOST+NEAREST CENTROID,WSCP,3,0.5204301075268817
RANDOM FOREST+PASSIVE AGGRESSIVE+GAUSSIAN NB,WRCDS,3,0.5204301075268817
LDA+DECISION TREE,WRCP,2,0.5204301075268817
GAUSSIAN NB+DECISION TREE,WRCP,2,0.5204301075268817
NEAREST CENTROID+DECISION TREE,ARC,2,0.5204301075268817
RIDGE+NEAREST CENTROID,WSCP,2,0.5204301075268817
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,WRCDS,3,0.5204301075268817
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,WRCP,3,0.5204301075268817
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,WRCDS,3,0.5204301075268817
LDA+GAUSSIAN NB,ASC,2,0.5204301075268817
RANDOM FOREST+RIDGE+GAUSSIAN NB,WRCDS,3,0.5204301075268817
RANDOM FOREST+RIDGE+GAUSSIAN NB,WSCDS,3,0.5201612903225806
PERCEPTRON+NEAREST CENTROID,ARC,2,0.5201612903225806
SGD LOG+PERCEPTRON,ARC,2,0.5201612903225806
LDA+DECISION TREE,WSCP,2,0.5201612903225806
RIDGE+PERCEPTRON,WSCP,2,0.5201612903225806
GRADIENT BOOST+LOGISTIC REGRESSION+GAUSSIAN NB,WSCP,3,0.5198924731182796
RANDOM FOREST+LDA+GAUSSIAN NB,WRCDS,3,0.5198924731182796
PERCEPTRON+DECISION TREE,WSCP,2,0.5198924731182796
PERCEPTRON+DECISION TREE,WRCP,2,0.5198924731182796
RANDOM FOREST+PASSIVE AGGRESSIVE+ADABOOST,WRCDS,3,0.5198924731182796
RANDOM FOREST+PASSIVE AGGRESSIVE+ADABOOST,ARC,3,0.5198924731182796
RANDOM FOREST+NEAREST CENTROID+EXTRA TREES,WRCDS,3,0.5198924731182796
RANDOM FOREST+LDA+NEAREST CENTROID,WRCP,3,0.5198924731182796
GRADIENT BOOST+LOGISTIC REGRESSION+NEAREST CENTROID,WSCP,3,0.5198924731182796
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,ARC,3,0.5198924731182796
RANDOM FOREST+PASSIVE AGGRESSIVE+PERCEPTRON,WRCDS,3,0.5198924731182796
PASSIVE AGGRESSIVE+RIDGE,ARC,2,0.5198924731182796
RANDOM FOREST+RIDGE+NEAREST CENTROID,WRCP,3,0.5198924731182796
RIDGE+NEAREST CENTROID,ASC,2,0.5196236559139785
DECISION TREE+EXTRA TREES,ASC,2,0.5196236559139785
RANDOM FOREST+PERCEPTRON+ADABOOST,WSCDS,3,0.5196236559139785
GRADIENT BOOST+ADABOOST,WSCDS,2,0.5196236559139785
GRADIENT BOOST+LOGISTIC REGRESSION+NEAREST CENTROID,ASC,3,0.5196236559139785
RANDOM FOREST+PERCEPTRON+ADABOOST,WSCP,3,0.5196236559139785
PASSIVE AGGRESSIVE+PERCEPTRON,WRCDS,2,0.5193548387096775
RANDOM FOREST+LDA+NEAREST CENTROID,WRCDS,3,0.5193548387096775
RANDOM FOREST+PERCEPTRON+LDA,WRCP,3,0.5193548387096775
RIDGE+GAUSSIAN NB,ASC,2,0.5193548387096775
RANDOM FOREST+PERCEPTRON+ADABOOST,ASC,3,0.5193548387096775
GRADIENT BOOST+SGD LOG+NEAREST CENTROID,WSCP,3,0.5193548387096775
LDA+GAUSSIAN NB,WRCDS,2,0.5193548387096775
LOGISTIC REGRESSION+GAUSSIAN NB,WSCP,2,0.5193548387096775
LOGISTIC REGRESSION+GAUSSIAN NB,ASC,2,0.5193548387096775
GAUSSIAN NB+DECISION TREE,WRCDS,2,0.5193548387096775
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,ASC,3,0.5190860215053763
RANDOM FOREST+LDA+GAUSSIAN NB,ARC,3,0.5190860215053763
GRADIENT BOOST+ADABOOST,ASC,2,0.5190860215053763
LDA+DECISION TREE,WSCDS,2,0.5190860215053763
LOGISTIC REGRESSION+NEAREST CENTROID,ASC,2,0.5190860215053763
LOGISTIC REGRESSION+NEAREST CENTROID,WSCP,2,0.5190860215053763
LOGISTIC REGRESSION+GAUSSIAN NB,WSCDS,2,0.5190860215053763
RANDOM FOREST+NEAREST CENTROID,WSCP,2,0.5190860215053763
GRADIENT BOOST+LOGISTIC REGRESSION+GAUSSIAN NB,WSCDS,3,0.5190860215053763
RANDOM FOREST+LOGISTIC REGRESSION+GAUSSIAN NB,WSCDS,3,0.5190860215053763
GRADIENT BOOST+LOGISTIC REGRESSION+GAUSSIAN NB,ASC,3,0.5190860215053763
RANDOM FOREST+NEAREST CENTROID,ASC,2,0.5188172043010753
RIDGE+GAUSSIAN NB,WRCDS,2,0.5188172043010753
PERCEPTRON+NEAREST CENTROID,WRCDS,2,0.5188172043010753
GAUSSIAN NB+ADABOOST,WRCDS,2,0.5188172043010753
GAUSSIAN NB+EXTRA TREES,WRCDS,2,0.5188172043010753
LDA+ADABOOST,WRCDS,2,0.5188172043010753
RANDOM FOREST+PASSIVE AGGRESSIVE+ADABOOST,WRCP,3,0.5188172043010753
SGD HINGE+NEAREST CENTROID,WSCDS,2,0.5188172043010753
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,ARC,3,0.5188172043010753
EXTRA TREES+ADABOOST,ARC,2,0.5188172043010753
EXTRA TREES+ADABOOST,WRCP,2,0.5188172043010753
EXTRA TREES+ADABOOST,WRCDS,2,0.5188172043010753
GRADIENT BOOST+GAUSSIAN NB,WRCDS,2,0.5188172043010753
GRADIENT BOOST+ADABOOST,WSCP,2,0.5188172043010753
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,WSCP,3,0.5188172043010753
PERCEPTRON+DECISION TREE,WRCDS,2,0.5188172043010753
RANDOM FOREST+GRADIENT BOOST+ADABOOST,WSCDS,3,0.5182795698924731
RANDOM FOREST+NEAREST CENTROID+DECISION TREE,WRCDS,3,0.5182795698924731
LOGISTIC REGRESSION+NEAREST CENTROID,WRCDS,2,0.5182795698924731
GAUSSIAN NB+ADABOOST,WRCP,2,0.5182795698924731
NEAREST CENTROID+DECISION TREE,WRCP,2,0.5182795698924731
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,WRCDS,3,0.5182795698924731
RANDOM FOREST+GAUSSIAN NB+EXTRA TREES,WRCDS,3,0.5182795698924731
LDA+DECISION TREE,WRCDS,2,0.5182795698924731
RANDOM FOREST+PASSIVE AGGRESSIVE+GAUSSIAN NB,ARC,3,0.5182795698924731
GAUSSIAN NB+EXTRA TREES,WSCP,2,0.5182795698924731
GAUSSIAN NB+ADABOOST,ARC,2,0.5182795698924731
DECISION TREE+EXTRA TREES,WRCP,2,0.5182795698924731
RANDOM FOREST+RIDGE+NEAREST CENTROID,ASC,3,0.5182795698924731
PASSIVE AGGRESSIVE+LDA,WRCDS,2,0.5182795698924731
SGD HINGE+NEAREST CENTROID,WSCP,2,0.5180107526881721
SGD HINGE+NEAREST CENTROID,ASC,2,0.5180107526881721
ADABOOST,individual,1,0.5180107526881721
RANDOM FOREST+LDA+EXTRA TREES,ARC,3,0.5177419354838709
RANDOM FOREST+PASSIVE AGGRESSIVE+DECISION TREE,ARC,3,0.5177419354838709
PASSIVE AGGRESSIVE+PERCEPTRON,ARC,2,0.5177419354838709
RANDOM FOREST+GAUSSIAN NB+DECISION TREE,WSCDS,3,0.5177419354838709
PERCEPTRON+ADABOOST,WSCP,2,0.5177419354838709
RIDGE+GAUSSIAN NB,ARC,2,0.5177419354838709
RANDOM FOREST+RIDGE+NEAREST CENTROID,WSCP,3,0.5177419354838709
PASSIVE AGGRESSIVE+PERCEPTRON,WRCP,2,0.5177419354838709
GAUSSIAN NB+EXTRA TREES,WRCP,2,0.5177419354838709
GRADIENT BOOST+SGD HINGE+PASSIVE AGGRESSIVE,WSCDS,3,0.5174731182795699
RANDOM FOREST+ADABOOST,WSCDS,2,0.5174731182795699
RANDOM FOREST+GAUSSIAN NB+DECISION TREE,WSCP,3,0.5174731182795699
GAUSSIAN NB+EXTRA TREES,ARC,2,0.5174731182795699
RANDOM FOREST+GAUSSIAN NB+EXTRA TREES,ASC,3,0.5172043010752688
RANDOM FOREST+GAUSSIAN NB+EXTRA TREES,WSCP,3,0.5172043010752688
RANDOM FOREST+PASSIVE AGGRESSIVE,WRCP,2,0.5172043010752688
RIDGE+ADABOOST,WRCP,2,0.5172043010752688
RIDGE+PERCEPTRON,WSCDS,2,0.5172043010752688
NEAREST CENTROID+EXTRA TREES,WRCDS,2,0.5172043010752688
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,WRCP,3,0.5172043010752688
RANDOM FOREST+SGD HINGE+GAUSSIAN NB,WRCDS,3,0.5172043010752688
RANDOM FOREST+GAUSSIAN NB+ADABOOST,ASC,3,0.5172043010752688
PASSIVE AGGRESSIVE+LDA,WRCP,2,0.5172043010752688
RANDOM FOREST+PERCEPTRON+DECISION TREE,WRCDS,3,0.5172043010752688
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,WRCP,3,0.5172043010752688
MLP CLASSIFIER+GAUSSIAN NB,WSCDS,2,0.5172043010752688
LDA+ADABOOST,WSCDS,2,0.5172043010752688
RIDGE+PERCEPTRON,WRCP,2,0.5172043010752688
RANDOM FOREST+GAUSSIAN NB+ADABOOST,WSCP,3,0.5169354838709678
RANDOM FOREST+GAUSSIAN NB+DECISION TREE,ASC,3,0.5169354838709678
RANDOM FOREST+PASSIVE AGGRESSIVE+GAUSSIAN NB,WSCP,3,0.5169354838709678
PERCEPTRON+ADABOOST,WSCDS,2,0.5169354838709678
PERCEPTRON+GAUSSIAN NB,WRCDS,2,0.5166666666666667
RIDGE+ADABOOST,ARC,2,0.5166666666666667
RIDGE+GAUSSIAN NB,WRCP,2,0.5166666666666667
RANDOM FOREST+PERCEPTRON+DECISION TREE,WRCP,3,0.5166666666666667
RANDOM FOREST+GAUSSIAN NB+ADABOOST,WRCDS,3,0.5166666666666667
RANDOM FOREST+PASSIVE AGGRESSIVE+PERCEPTRON,WRCP,3,0.5166666666666667
RANDOM FOREST+SGD HINGE+PASSIVE AGGRESSIVE,WRCP,3,0.5166666666666667
RIDGE+PERCEPTRON,ARC,2,0.5166666666666667
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,ARC,3,0.5166666666666667
RANDOM FOREST+PERCEPTRON+DECISION TREE,ARC,3,0.5166666666666667
RIDGE+ADABOOST,WSCDS,2,0.5166666666666667
RIDGE+ADABOOST,ASC,2,0.5163978494623656
RANDOM FOREST+GRADIENT BOOST+GAUSSIAN NB,ASC,3,0.5163978494623656
LDA+GAUSSIAN NB,ARC,2,0.5163978494623656
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,ARC,3,0.5163978494623656
PERCEPTRON+ADABOOST,ASC,2,0.5163978494623656
RIDGE+NEAREST CENTROID,ARC,2,0.5163978494623656
SGD HINGE+GAUSSIAN NB,WSCP,2,0.5161290322580645
RANDOM FOREST+NEAREST CENTROID,WRCDS,2,0.5161290322580645
LDA+ADABOOST,WSCP,2,0.5161290322580645
RANDOM FOREST+GRADIENT BOOST+GAUSSIAN NB,WSCP,3,0.5161290322580645
RANDOM FOREST+NEAREST CENTROID+DECISION TREE,ARC,3,0.5161290322580645
RIDGE+DECISION TREE,ASC,2,0.5161290322580645
RANDOM FOREST+PASSIVE AGGRESSIVE+PERCEPTRON,ARC,3,0.5161290322580645
RANDOM FOREST+PASSIVE AGGRESSIVE+GAUSSIAN NB,WRCP,3,0.5161290322580645
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,WRCP,3,0.5161290322580645
RANDOM FOREST+GAUSSIAN NB+EXTRA TREES,WRCP,3,0.5161290322580645
RANDOM FOREST+PASSIVE AGGRESSIVE+DECISION TREE,WRCDS,3,0.5161290322580645
RANDOM FOREST+RIDGE+LDA,ARC,3,0.5161290322580645
RANDOM FOREST+PASSIVE AGGRESSIVE,WRCDS,2,0.5161290322580645
RANDOM FOREST+RIDGE+EXTRA TREES,ARC,3,0.5161290322580645
RANDOM FOREST+RIDGE+EXTRA TREES,WRCP,3,0.5161290322580645
RIDGE+DECISION TREE,WSCDS,2,0.5158602150537634
RANDOM FOREST+PASSIVE AGGRESSIVE+ADABOOST,ASC,3,0.5158602150537634
RIDGE+ADABOOST,WSCP,2,0.5158602150537634
LOGISTIC REGRESSION+DECISION TREE,WSCP,2,0.5158602150537634
LOGISTIC REGRESSION+DECISION TREE,ASC,2,0.5158602150537634
DECISION TREE+ADABOOST,WRCDS,2,0.5158602150537634
SGD HINGE+GAUSSIAN NB,WSCDS,2,0.5155913978494624
PASSIVE AGGRESSIVE+EXTRA TREES,WRCP,2,0.5155913978494624
GRADIENT BOOST+LOGISTIC REGRESSION+ADABOOST,WSCP,3,0.5155913978494624
GRADIENT BOOST+PASSIVE AGGRESSIVE,WRCDS,2,0.5155913978494624
RANDOM FOREST+LDA+EXTRA TREES,WRCDS,3,0.5155913978494624
LDA+ADABOOST,WRCP,2,0.5155913978494624
