combination,method,n_models,score
SGD HINGE+PASSIVE AGGRESSIVE,ASC,2,0.5408602150537635
SGD HINGE+GAUSSIAN NB,ARC,2,0.5408602150537635
SGD HINGE+GAUSSIAN NB,WRCDS,2,0.5381720430107527
SGD HINGE+GAUSSIAN NB,WRCP,2,0.5381720430107527
SGD HINGE+NEAREST CENTROID,WRCDS,2,0.5376344086021505
SGD HINGE+PASSIVE AGGRESSIVE,WRCP,2,0.5360215053763441
SGD HINGE+PERCEPTRON,WRCP,2,0.5360215053763441
SGD LOG+NEAREST CENTROID,ASC,2,0.535483870967742
SGD LOG+NEAREST CENTROID,WRCDS,2,0.5349462365591398
SGD LOG+NEAREST CENTROID,WSCDS,2,0.5349462365591398
RANDOM FOREST+SGD LOG+NEAREST CENTROID,WSCDS,3,0.5336021505376344
SGD LOG+PASSIVE AGGRESSIVE,WRCP,2,0.5333333333333333
SGD HINGE+NEAREST CENTROID,WRCP,2,0.5333333333333333
SGD LOG+GAUSSIAN NB,WRCP,2,0.5327956989247312
PASSIVE AGGRESSIVE+NEAREST CENTROID,WSCP,2,0.531989247311828
PASSIVE AGGRESSIVE+NEAREST CENTROID,WSCDS,2,0.531989247311828
SGD HINGE+PASSIVE AGGRESSIVE,WSCDS,2,0.5317204301075269
SGD HINGE+PASSIVE AGGRESSIVE,WSCP,2,0.5314516129032258
NEAREST CENTROID+ADABOOST,WSCP,2,0.5309139784946236
GRADIENT BOOST+SGD LOG+NEAREST CENTROID,WSCDS,3,0.5309139784946236
RANDOM FOREST+NEAREST CENTROID+ADABOOST,WSCDS,3,0.5309139784946236
NEAREST CENTROID+ADABOOST,ASC,2,0.5309139784946236
PERCEPTRON+NEAREST CENTROID,WSCDS,2,0.5306451612903226
NEAREST CENTROID+ADABOOST,WSCDS,2,0.5306451612903226
PASSIVE AGGRESSIVE+GAUSSIAN NB,WRCP,2,0.5301075268817205
SGD LOG+NEAREST CENTROID,ARC,2,0.5298387096774193
SGD LOG+PASSIVE AGGRESSIVE,ARC,2,0.5293010752688172
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,WSCDS,3,0.5293010752688172
RANDOM FOREST+NEAREST CENTROID+EXTRA TREES,WSCDS,3,0.5290322580645161
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,WSCP,3,0.5290322580645161
PERCEPTRON+NEAREST CENTROID,ASC,2,0.5290322580645161
PERCEPTRON+NEAREST CENTROID,WSCP,2,0.5290322580645161
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,ASC,3,0.5287634408602151
PASSIVE AGGRESSIVE+NEAREST CENTROID,ASC,2,0.5287634408602151
NEAREST CENTROID+EXTRA TREES,WSCDS,2,0.5287634408602151
GAUSSIAN NB+NEAREST CENTROID,WSCDS,2,0.5284946236559139
RANDOM FOREST+SGD LOG+NEAREST CENTROID,ASC,3,0.5282258064516129
GAUSSIAN NB+DECISION TREE,ASC,2,0.5282258064516129
SGD HINGE+NEAREST CENTROID,ARC,2,0.5279569892473118
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,WSCDS,3,0.5279569892473118
GRADIENT BOOST+NEAREST CENTROID,WSCDS,2,0.5276881720430108
RANDOM FOREST+GAUSSIAN NB+NEAREST CENTROID,WSCDS,3,0.5276881720430108
PASSIVE AGGRESSIVE+ADABOOST,ARC,2,0.5274193548387097
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,WSCP,3,0.5274193548387097
RANDOM FOREST+SGD HINGE+NEAREST CENTROID,WRCDS,3,0.5274193548387097
SGD LOG+NEAREST CENTROID,WRCP,2,0.5274193548387097
SGD LOG+NEAREST CENTROID,WSCP,2,0.5274193548387097
SGD HINGE+PERCEPTRON,ARC,2,0.5274193548387097
GAUSSIAN NB+NEAREST CENTROID,WSCP,2,0.5271505376344086
GAUSSIAN NB+NEAREST CENTROID,ASC,2,0.5268817204301075
PASSIVE AGGRESSIVE+GAUSSIAN NB,ARC,2,0.5268817204301075
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,WSCP,3,0.5268817204301075
SGD LOG+GAUSSIAN NB,ASC,2,0.5268817204301075
RANDOM FOREST+PERCEPTRON+NEAREST CENTROID,ASC,3,0.5266129032258065
GAUSSIAN NB+DECISION TREE,WSCP,2,0.5263440860215054
RANDOM FOREST+GRADIENT BOOST+NEAREST CENTROID,WSCDS,3,0.5263440860215054
PASSIVE AGGRESSIVE+ADABOOST,WRCP,2,0.5263440860215054
RANDOM FOREST+PASSIVE AGGRESSIVE+NEAREST CENTROID,ASC,3,0.5263440860215054
PASSIVE AGGRESSIVE+ADABOOST,WRCDS,2,0.5263440860215054
RANDOM FOREST+SGD LOG+NEAREST CENTROID,WSCP,3,0.5263440860215054
NEAREST CENTROID+ADABOOST,WRCP,2,0.5263440860215054
NEAREST CENTROID+ADABOOST,ARC,2,0.5263440860215054
RANDOM FOREST+NEAREST CENTROID+DECISION TREE,ASC,3,0.5263440860215054
SGD LOG+GAUSSIAN NB,WSCP,2,0.5263440860215054
SGD LOG+GAUSSIAN NB,ARC,2,0.5260752688172043
GAUSSIAN NB+DECISION TREE,WSCDS,2,0.5260752688172043
RANDOM FOREST+NEAREST CENTROID+ADABOOST,ASC,3,0.5260752688172043
LDA+NEAREST CENTROID,ASC,2,0.5255376344086021
RANDOM FOREST+NEAREST CENTROID+EXTRA TREES,ASC,3,0.5252688172043011
RANDOM FOREST+PASSIVE AGGRESSIVE+RIDGE,WRCP,3,0.5252688172043011
PERCEPTRON+GAUSSIAN NB,WSCDS,2,0.5252688172043011
LDA+NEAREST CENTROID,WSCP,2,0.5252688172043011
RANDOM FOREST+PASSIVE AGGRESSIVE+RIDGE,ARC,3,0.5252688172043011
GRADIENT BOOST+LOGISTIC REGRESSION+NEAREST CENTROID,WSCDS,3,0.525
NEAREST CENTROID+EXTRA TREES,ASC,2,0.525
PASSIVE AGGRESSIVE+GAUSSIAN NB,WRCDS,2,0.524731182795699
RIDGE+NEAREST CENTROID,WRCDS,2,0.524731182795699
LDA+NEAREST CENTROID,WRCDS,2,0.524731182795699
PASSIVE AGGRESSIVE+NEAREST CENTROID,WRCP,2,0.524731182795699
RANDOM FOREST+PASSIVE AGGRESSIVE+RIDGE,WRCDS,3,0.524731182795699
GRADIENT BOOST+NEAREST CENTROID,WSCP,2,0.5244623655913978
GRADIENT BOOST+GAUSSIAN NB,ASC,2,0.5244623655913978
RANDOM FOREST+NEAREST CENTROID,WSCDS,2,0.5244623655913978
RANDOM FOREST+NEAREST CENTROID+DECISION TREE,WSCP,3,0.5244623655913978
RIDGE+NEAREST CENTROID,WSCDS,2,0.5244623655913978
RANDOM FOREST+PASSIVE AGGRESSIVE+LDA,WRCP,3,0.5241935483870968
NEAREST CENTROID+ADABOOST,WRCDS,2,0.5241935483870968
GAUSSIAN NB,individual,1,0.5241935483870968
PASSIVE AGGRESSIVE+NEAREST CENTROID,ARC,2,0.5241935483870968
GRADIENT BOOST+GAUSSIAN NB,WSCP,2,0.5241935483870968
GRADIENT BOOST+NEAREST CENTROID,ASC,2,0.5241935483870968
RANDOM FOREST+RIDGE+NEAREST CENTROID,WRCDS,3,0.5241935483870968
GRADIENT BOOST+GAUSSIAN NB,WSCDS,2,0.5241935483870968
GAUSSIAN NB+ADABOOST,ASC,2,0.5239247311827957
GAUSSIAN NB+EXTRA TREES,WSCDS,2,0.5239247311827957
PERCEPTRON+DECISION TREE,WSCDS,2,0.5239247311827957
RANDOM FOREST+RIDGE+GAUSSIAN NB,WSCP,3,0.5239247311827957
LDA+NEAREST CENTROID,WSCDS,2,0.5239247311827957
PASSIVE AGGRESSIVE+NEAREST CENTROID,WRCDS,2,0.5236559139784946
PASSIVE AGGRESSIVE+DECISION TREE,ARC,2,0.5236559139784946
NEAREST CENTROID,individual,1,0.5236559139784946
RANDOM FOREST+PASSIVE AGGRESSIVE+LDA,WRCDS,3,0.5236559139784946
RANDOM FOREST+NEAREST CENTROID+EXTRA TREES,WSCP,3,0.5236559139784946
RANDOM FOREST+PASSIVE AGGRESSIVE+GAUSSIAN NB,WSCDS,3,0.5236559139784946
PASSIVE AGGRESSIVE+DECISION TREE,WRCP,2,0.5236559139784946
RANDOM FOREST+RIDGE+GAUSSIAN NB,ASC,3,0.5236559139784946
RIDGE+PERCEPTRON,WRCDS,2,0.5236559139784946
RANDOM FOREST+PASSIVE AGGRESSIVE+LDA,ARC,3,0.5233870967741936
PERCEPTRON+GAUSSIAN NB,ASC,2,0.5233870967741936
RANDOM FOREST+NEAREST CENTROID+ADABOOST,WSCP,3,0.5233870967741936
RANDOM FOREST+GAUSSIAN NB,WSCDS,2,0.5233870967741936
RANDOM FOREST+PERCEPTRON+GAUSSIAN NB,WSCDS,3,0.5231182795698924
RANDOM FOREST+GAUSSIAN NB+EXTRA TREES,WSCDS,3,0.5231182795698924
NEAREST CENTROID+EXTRA TREES,WSCP,2,0.5231182795698924
PASSIVE AGGRESSIVE+GAUSSIAN NB,WSCP,2,0.5231182795698924
PASSIVE AGGRESSIVE+DECISION TREE,WRCDS,2,0.5231182795698924
PERCEPTRON+GAUSSIAN NB,WSCP,2,0.5231182795698924
PERCEPTRON+ADABOOST,ARC,2,0.5231182795698924
RANDOM FOREST+RIDGE+PERCEPTRON,ARC,3,0.5231182795698924
GAUSSIAN NB+DECISION TREE,ARC,2,0.5231182795698924
RANDOM FOREST+SGD LOG+NEAREST CENTROID,WRCDS,3,0.5231182795698924
PERCEPTRON+DECISION TREE,ASC,2,0.5228494623655914
GAUSSIAN NB+NEAREST CENTROID,ARC,2,0.5228494623655914
LDA+GAUSSIAN NB,WSCDS,2,0.5228494623655914
SGD HINGE+PASSIVE AGGRESSIVE,ARC,2,0.5225806451612903
NEAREST CENTROID+DECISION TREE,ASC,2,0.5225806451612903
NEAREST CENTROID+DECISION TREE,WRCDS,2,0.5225806451612903
RANDOM FOREST+GAUSSIAN NB+ADABOOST,WSCDS,3,0.5225806451612903
SGD LOG+PERCEPTRON,WRCP,2,0.5225806451612903
NEAREST CENTROID+DECISION TREE,WSCP,2,0.5225806451612903
PERCEPTRON+ADABOOST,WRCP,2,0.5225806451612903
RANDOM FOREST+NEAREST CENTROID+ADABOOST,WRCDS,3,0.5225806451612903
