combination,method,n_models,score
CNN,individual,1,0.991
CNN+RANDOM_FOREST,ASC,2,0.9901
CNN+RANDOM_FOREST,WSCP,2,0.9901
CNN+RANDOM_FOREST,WSCDS,2,0.9901
CNN+RANDOM_FOREST,WRCP,2,0.9868
CNN+RANDOM_FOREST,ARC,2,0.9804
CNN+RANDOM_FOREST,WRCDS,2,0.9804
RANDOM_FOREST,individual,1,0.9704
